0,1
KLOECKNER + CO SE NA O.N.,DE000KC01000
KNAUS AG  INH O.N.,DE000A2YN504
KNORR-BREMSE AG  INH O.N.,DE000KBX1006
KOENIG + BAUER AG ST O.N.,DE0007193500
KONTRON AG O.N,AT0000A0E9W5
KPS AG NA O.N.,DE000A1A6V48
KRONES AG O.N.,DE0006335003
KUKA AG,DE0006204407
KWS SAAT KGAA  INH O.N.,DE0007074007
LANXESS AG,DE0005470405
LEG IMMOBILIEN SE NA O.N.,DE000LEG1110
LEIFHEIT AG O.N.,DE0006464506
LEONI AG NA O.N.,DE0005408884
"LINDE PLC        EO 0,001",IE00BZ12WP82
LOGWIN AG NAM. O.N.,LU1618151879
LPKF LASER+ELECTRON.,DE0006450000
LUDW.BECK A.RATHAUSECK,DE0005199905
LUFTHANSA AG VNA O.N.,DE0008232125
MANZ AG,DE000A0JQ5U3
MASTERFLEX O.N.,DE0005492938
MAX AUTOMATION SE NA O.N.,DE000A2DA588
MBB SE O.N.,DE000A0ETBQ4
MEDICLIN AG,DE0006595101
MEDIGENE AG NA O.N.,DE000A1X3W00
MEDIOS AG  O.N.,DE000A1MMCC8
MERCEDES-BENZ GRP NA O.N.,DE0007100000
MERCK KGAA O.N.,DE0006599905
METRO AG   ST O.N.,DE000BFB0019
METRO AG   VZO O.N.,DE000BFB0027
MISTER SPEX SE INH O.N.,DE000A3CSAE2
MLP SE  INH. O.N.,DE0006569908
MORPHOSYS AG O.N.,DE0006632003
MTU AERO ENGINES NA O.N.,DE000A0D9PT0
MUENCH.RUECKVERS.VNA O.N.,DE0008430026
MULTITUDE SE,FI4000106299
MUTARES KGAA  NA O.N.,DE000A2NB650
MVV ENERGIE AG NA O.N.,DE000A0H52F5
NAGARRO SE  NA O.N.,DE000A3H2200
NEMETSCHEK SE O.N.,DE0006452907
NEW WORK SE  NA O.N.,DE000NWRK013
NEXUS AG O.N.,DE0005220909
NFON AG  INH O.N.,DE000A0N4N52
NORDEX SE O.N.,DE000A0D6554
NORMA GROUP SE NA O.N.,DE000A1H8BV3
NOVEM GROUP S.A.     EO 1,LU2356314745
OHB SE   O.N.,DE0005936124
OVB HOLDING AG,DE0006286560
PAION O.N,DE000A0B65S3
PARAGON KGAA  INH O.N.,DE0005558696
PATRIZIA SE NA O.N.,DE000PAT1AG3
PETRO WELT TECHNOLOGIE.AG,AT0000A00Y78
PFEIFFER VACUUM TECH.O.N.,DE0006916604
PHARMASGP HOLDING SE O.N.,DE000A2P4LJ5
PNE AG  NA O.N.,DE000A0JBPG2
PROCREDIT HLDG AG NA EO 5,DE0006223407
PROGRESS-WERK OBERK. O.N.,DE0006968001
PROSIEBENSAT.1  NA O.N.,DE000PSM7770
PSI SOFTWARE AG NA O.N.,DE000A0Z1JH9
PUMA SE,DE0006969603
PVA TEPLA AG O.N.,DE0007461006
Q.BEYOND AG NA O.N.,DE0005137004
"QIAGEN NV         EO -,01",NL0012169213
R. STAHL AG NA O.N.,DE000A1PHBB5
RATIONAL AG,DE0007010803
RHEINMETALL AG,DE0007030009
RHOEN-KLINIKUM O.N.,DE0007042301
ROY ASSET HLDG INH O.N.,DE000RYSE888
RTL GROUP,LU0061462528
RWE AG   INH O.N.,DE0007037129
SAF-HOLLAND SE  INH EO 1,DE000SAFH001
SALZGITTER AG O.N.,DE0006202005
SAP SE O.N.,DE0007164600
SARTORIUS AG O.N.,DE0007165607
SARTORIUS AG VZO O.N.,DE0007165631
SCHAEFFLER AG INH. VZO,DE000SHA0159
SCOUT24 SE NA O.N.,DE000A12DM80
SECUNET SECURITY AG O.N.,DE0007276503
SERVICEWARE SE  INH O.N.,DE000A2G8X31
SFC ENERGY AG,DE0007568578
SGL CARBON SE O.N.,DE0007235301
SHOP APOTHEKE EUROPE INH.,NL0012044747
SIEMENS AG  NA O.N.,DE0007236101
SIEMENS ENERGY AG NA O.N.,DE000ENER6Y0
SIEMENS HEALTH.AG NA O.N.,DE000SHL1006
SILTRONIC AG NA O.N.,DE000WAF3001
SINGULUS TECHNOL. EO 1,DE000A1681X5
SIXT SE ST O.N.,DE0007231326
SIXT SE VZO O.N.,DE0007231334
SLM SOLUTIONS GRP AG,DE000A111338
SMA SOLAR TECHNOL.AG,DE000A0DJ6J9
SNP SCHNEID.-NEUREIT.O.N.,DE0007203705
SOFTING AG O.N.,DE0005178008
SOFTWARE AG  NA O.N.,DE000A2GS401
STABILUS SE INH. O.N.,DE000STAB1L8
"STEINHOFF INT.HLDG.EO-,01",NL0011375019
STEMMER IMAGING AG INH ON,DE000A2G9MZ9
STRATEC SE  NA O.N.,DE000STRA555
STROEER SE + CO. KGAA,DE0007493991
SUEDZUCKER AG  O.N.,DE0007297004
SUESS MICROTEC SE NA O.N.,DE000A1K0235
SURTECO GROUP SE INH O.N.,DE0005176903
SUSE S.A.            DL 1,LU2333210958
SYMRISE AG INH. O.N.,DE000SYM9999
SYNLAB AG  INH O.N.,DE000A2TSL71
SYZYGY AG O.N.,DE0005104806
TAG IMMOBILIEN AG,DE0008303504
TAKKT AG O.N.,DE0007446007
TALANX AG NA O.N.,DE000TLX1005
TEAMVIEWER AG  INH O.N.,DE000A2YN900
TECHNOTRANS SE NA O.N.,DE000A0XYGA7
TELEFONICA DTLD HLDG NA,DE000A1J5RX9
TELES AG ON,DE000A289B07
THE SOCIAL CHAIN AG NA ON,DE000A1YC996
THYSSENKRUPP AG O.N.,DE0007500001
TONIES SE            EO 1,LU2333563281
TRATON SE   INH O.N.,DE000TRAT0N7
UNIPER SE  NA O.N.,DE000UNSE018
UNITED LABELS O.N.,DE0005489561
USU SOFTWARE AG,DE000A0BVU28
UTD.INTERNET AG NA,DE0005089031
VA-Q-TEC AG NA O.N.,DE0006636681
VANTAGE TOWERS AG NA O.N.,DE000A3H3LL2
VARTA AG O.N.,DE000A0TGJ55
VERBIO VER.BIOENERGIE  ON,DE000A0JL9W6
VILLEROY + BOCH AG VZ,DE0007657231
VISCOM AG O.N.,DE0007846867
VITA 34 AG NA O.N.,DE000A0BL849
VITESCO TECHS GRP NA O.N.,DE000VTSC017
VOLKSWAGEN AG ST O.N.,DE0007664005
VOLKSWAGEN AG VZO O.N.,DE0007664039
VOLTABOX AG  INH. O.N.,DE000A2E4LE9
VONOVIA SE NA O.N.,DE000A1ML7J1
VOSSLOH AG O.N.,DE0007667107
VULCAN ENERGY RESOURCES,AU0000066086
WACKER CHEMIE        O.N.,DE000WCH8881
WACKER NEUSON SE NA O.N.,DE000WACK012
WASHTEC AG O.N.,DE0007507501
WESTWING GROUP  INH. O.N.,DE000A2N4H07
WINDELN.DE SE INH O.N.,DE000WNDL300
WUESTENROT+WUERTT.AG O.N.,DE0008051004
YOC AG O.N.,DE0005932735
ZALANDO SE,DE000ZAL1111
ZEAL NETWORK SE NA O.N.,DE000ZEAL241
